ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,boro_code_,shape_leng_left,shape_area,shape_leng_right,borough
10065,10065,B5,G6350,S,984654,0,40.7646284,-73.9631438,1,361212.4761,636602658.9,361212.4761,Manhattan
10069,10069,B5,G6350,S,249050,0,40.7759598,-73.990341,1,361212.4761,636602658.9,361212.4761,Manhattan
10075,10075,B5,G6350,S,477137,0,40.773363,-73.9562218,1,361212.4761,636602658.9,361212.4761,Manhattan
10128,10128,B5,G6350,S,1206191,0,40.7814283,-73.9500104,1,361212.4761,636602658.9,361212.4761,Manhattan
10162,10162,B5,G6350,S,29812,0,40.7693083,-73.9499244,1,361212.4761,636602658.9,361212.4761,Manhattan
10280,10280,B5,G6350,S,297253,38409,40.7090731,-74.016423,1,361212.4761,636602658.9,361212.4761,Manhattan
10282,10282,B5,G6350,S,177847,55133,40.7169009,-74.015119,1,361212.4761,636602658.9,361212.4761,Manhattan
10001,10001,B5,G6350,S,1591494,0,40.7506364,-73.9971767,1,361212.4761,636602658.9,361212.4761,Manhattan
10002,10002,B5,G6350,S,2275174,0,40.7157758,-73.9862109,1,361212.4761,636602658.9,361212.4761,Manhattan
10003,10003,B5,G6350,S,1493003,0,40.7318292,-73.9891809,1,361212.4761,636602658.9,361212.4761,Manhattan
10005,10005,B5,G6350,S,188254,0,40.7060041,-74.0087853,1,361212.4761,636602658.9,361212.4761,Manhattan
10006,10006,B5,G6350,S,241687,0,40.709627,-74.0129717,1,361212.4761,636602658.9,361212.4761,Manhattan
10007,10007,B5,G6350,S,413125,0,40.7138577,-74.0077768,1,361212.4761,636602658.9,361212.4761,Manhattan
10009,10009,B5,G6350,S,1597617,0,40.7263986,-73.9786335,1,361212.4761,636602658.9,361212.4761,Manhattan
10010,10010,B5,G6350,S,988475,0,40.7391043,-73.9824551,1,361212.4761,636602658.9,361212.4761,Manhattan
10011,10011,B5,G6350,S,1714087,0,40.7420427,-74.0006196,1,361212.4761,636602658.9,361212.4761,Manhattan
10012,10012,B5,G6350,S,837302,0,40.7255806,-73.9980784,1,361212.4761,636602658.9,361212.4761,Manhattan
10013,10013,B5,G6350,S,1425087,0,40.7201028,-74.0049013,1,361212.4761,636602658.9,361212.4761,Manhattan
10014,10014,B5,G6350,S,1423747,40192,40.7340123,-74.0067462,1,361212.4761,636602658.9,361212.4761,Manhattan
10016,10016,B5,G6350,S,1378167,0,40.7452206,-73.9782937,1,361212.4761,636602658.9,361212.4761,Manhattan
10017,10017,B5,G6350,S,820953,0,40.7523591,-73.9724891,1,361212.4761,636602658.9,361212.4761,Manhattan
10018,10018,B5,G6350,S,836255,0,40.755332,-73.9931395,1,361212.4761,636602658.9,361212.4761,Manhattan
10019,10019,B5,G6350,S,1804718,0,40.7658289,-73.9873413,1,361212.4761,636602658.9,361212.4761,Manhattan
10021,10021,B5,G6350,S,986790,0,40.7692245,-73.9587405,1,361212.4761,636602658.9,361212.4761,Manhattan
10022,10022,B5,G6350,S,1107168,0,40.7586304,-73.9679488,1,361212.4761,636602658.9,361212.4761,Manhattan
10023,10023,B5,G6350,S,1269195,0,40.7759149,-73.9826023,1,361212.4761,636602658.9,361212.4761,Manhattan
10024,10024,B5,G6350,S,2222642,0,40.798452,-73.9744135,1,361212.4761,636602658.9,361212.4761,Manhattan
10025,10025,B5,G6350,S,1946733,0,40.7986013,-73.9666222,1,361212.4761,636602658.9,361212.4761,Manhattan
10026,10026,B5,G6350,S,860743,0,40.8023805,-73.9526814,1,361212.4761,636602658.9,361212.4761,Manhattan
10027,10027,B5,G6350,S,2250650,1032,40.8114075,-73.9530604,1,361212.4761,636602658.9,361212.4761,Manhattan
10028,10028,B5,G6350,S,811365,0,40.7764417,-73.9535134,1,361212.4761,636602658.9,361212.4761,Manhattan
10029,10029,B5,G6350,S,2102364,0,40.7917631,-73.9439702,1,361212.4761,636602658.9,361212.4761,Manhattan
10030,10030,B5,G6350,S,722535,0,40.8182668,-73.9428558,1,361212.4761,636602658.9,361212.4761,Manhattan
10031,10031,B5,G6350,S,1681546,0,40.8252881,-73.9500452,1,361212.4761,636602658.9,361212.4761,Manhattan
10032,10032,B5,G6350,S,1695753,0,40.8387917,-73.9428296,1,361212.4761,636602658.9,361212.4761,Manhattan
10033,10033,B5,G6350,S,1544119,0,40.850482,-73.9340509,1,361212.4761,636602658.9,361212.4761,Manhattan
10034,10034,B5,G6350,S,2823927,11193,40.8670761,-73.924312,1,361212.4761,636602658.9,361212.4761,Manhattan
10035,10035,B5,G6350,S,3689136,0,40.7954584,-73.9295703,1,361212.4761,636602658.9,361212.4761,Manhattan
10036,10036,B5,G6350,S,1137632,0,40.7592544,-73.9898269,1,361212.4761,636602658.9,361212.4761,Manhattan
10037,10037,B5,G6350,S,666603,0,40.8129604,-73.9373761,1,361212.4761,636602658.9,361212.4761,Manhattan
10038,10038,B5,G6350,S,773837,0,40.7093384,-74.0025397,1,361212.4761,636602658.9,361212.4761,Manhattan
10039,10039,B5,G6350,S,1132696,0,40.830869,-73.9362162,1,361212.4761,636602658.9,361212.4761,Manhattan
10040,10040,B5,G6350,S,988490,0,40.8583145,-73.9304937,1,361212.4761,636602658.9,361212.4761,Manhattan
10044,10044,B5,G6350,S,595885,0,40.7619065,-73.9499671,1,361212.4761,636602658.9,361212.4761,Manhattan
10301,10301,B5,G6350,S,9189255,12647,40.6275046,-74.0943767,5,325956.009,1623757283,325956.009,Staten Island
10302,10302,B5,G6350,S,3079121,0,40.6307157,-74.1377294,5,325956.009,1623757283,325956.009,Staten Island
10303,10303,B5,G6350,S,8141997,73294,40.6298846,-74.1741296,5,325956.009,1623757283,325956.009,Staten Island
10304,10304,B5,G6350,S,9655859,19194,40.605965,-74.0935352,5,325956.009,1623757283,325956.009,Staten Island
10305,10305,B5,G6350,S,10304611,44453,40.5965488,-74.0757794,5,325956.009,1623757283,325956.009,Staten Island
10306,10306,B5,G6350,S,19359797,152157,40.5717679,-74.1259504,5,325956.009,1623757283,325956.009,Staten Island
10307,10307,B5,G6350,S,4764130,18350,40.5088387,-74.240575,5,325956.009,1623757283,325956.009,Staten Island
10308,10308,B5,G6350,S,5097987,12014,40.551884,-74.1476456,5,325956.009,1623757283,325956.009,Staten Island
10309,10309,B5,G6350,S,17239616,102043,40.5313464,-74.219857,5,325956.009,1623757283,325956.009,Staten Island
10310,10310,B5,G6350,S,4651578,0,40.6326459,-74.1161482,5,325956.009,1623757283,325956.009,Staten Island
10312,10312,B5,G6350,S,19637318,359000,40.5444726,-74.1823669,5,325956.009,1623757283,325956.009,Staten Island
10314,10314,B5,G6350,S,35432499,1687746,40.5992625,-74.165748,5,325956.009,1623757283,325956.009,Staten Island
10451,10451,B5,G6350,S,2665303,9963,40.8204537,-73.9250659,2,462958.1876,1186612478,462958.1876,Bronx
10452,10452,B5,G6350,S,2559781,0,40.8373911,-73.9234379,2,462958.1876,1186612478,462958.1876,Bronx
10453,10453,B5,G6350,S,2372518,6524,40.8528201,-73.9123103,2,462958.1876,1186612478,462958.1876,Bronx
10454,10454,B5,G6350,S,2714423,0,40.805492,-73.9166041,2,462958.1876,1186612478,462958.1876,Bronx
10455,10455,B5,G6350,S,1846908,0,40.8147128,-73.9085897,2,462958.1876,1186612478,462958.1876,Bronx
10456,10456,B5,G6350,S,2635671,0,40.8298858,-73.9081213,2,462958.1876,1186612478,462958.1876,Bronx
10457,10457,B5,G6350,S,2743123,0,40.8471621,-73.8986628,2,462958.1876,1186612478,462958.1876,Bronx
10458,10458,B5,G6350,S,2603707,0,40.8625289,-73.8881594,2,462958.1876,1186612478,462958.1876,Bronx
10459,10459,B5,G6350,S,2124313,0,40.8258556,-73.8929413,2,462958.1876,1186612478,462958.1876,Bronx
10460,10460,B5,G6350,S,3399050,0,40.8417362,-73.8795975,2,462958.1876,1186612478,462958.1876,Bronx
10461,10461,B5,G6350,S,6201816,0,40.8473944,-73.8405832,2,462958.1876,1186612478,462958.1876,Bronx
10462,10462,B5,G6350,S,3818110,15353,40.8432666,-73.860417,2,462958.1876,1186612478,462958.1876,Bronx
10463,10463,B5,G6350,S,3755855,345779,40.8806784,-73.9065404,2,462958.1876,1186612478,462958.1876,Bronx
10464,10464,B5,G6350,S,8993192,237116,40.8695935,-73.7958478,2,462958.1876,1186612478,462958.1876,Bronx
10465,10465,B5,G6350,S,8799203,2711,40.8240184,-73.8234687,2,462958.1876,1186612478,462958.1876,Bronx
10466,10466,B5,G6350,S,5215221,5147,40.8909641,-73.8462394,2,462958.1876,1186612478,462958.1876,Bronx
10467,10467,B5,G6350,S,6049162,0,40.8699533,-73.8657645,2,462958.1876,1186612478,462958.1876,Bronx
10468,10468,B5,G6350,S,2773214,45100,40.8689403,-73.899995,2,462958.1876,1186612478,462958.1876,Bronx
10469,10469,B5,G6350,S,6404388,0,40.86861,-73.8481368,2,462958.1876,1186612478,462958.1876,Bronx
10470,10470,B5,G6350,S,3703474,3918,40.8895259,-73.8725858,2,462958.1876,1186612478,462958.1876,Bronx
10471,10471,B5,G6350,S,6659943,28258,40.8987884,-73.9031302,2,462958.1876,1186612478,462958.1876,Bronx
10472,10472,B5,G6350,S,2729341,0,40.8295564,-73.8693102,2,462958.1876,1186612478,462958.1876,Bronx
10473,10473,B5,G6350,S,5539540,5538,40.8186904,-73.8584741,2,462958.1876,1186612478,462958.1876,Bronx
10474,10474,B5,G6350,S,3961350,0,40.8106185,-73.8844743,2,462958.1876,1186612478,462958.1876,Bronx
10475,10475,B5,G6350,S,4454301,287086,40.8743749,-73.8236561,2,462958.1876,1186612478,462958.1876,Bronx
10550,10550,B5,G6350,S,5139546,32765,40.9054482,-73.8352533,2,462958.1876,1186612478,462958.1876,Bronx
10704,10704,B5,G6350,S,6918574,355475,40.9197286,-73.8626512,2,462958.1876,1186612478,462958.1876,Bronx
10705,10705,B5,G6350,S,5730915,59198,40.9197422,-73.8899904,2,462958.1876,1186612478,462958.1876,Bronx
10803,10803,B5,G6350,S,5667861,20721,40.9004583,-73.8071383,2,462958.1876,1186612478,462958.1876,Bronx
10004,10004,B5,G6350,S,1394739,10096,40.6888735,-74.0182129,3,738745.8421,1937593023,738745.8421,Brooklyn
11225,11225,B5,G6350,S,2289259,0,40.6630459,-73.9542193,3,738745.8421,1937593023,738745.8421,Brooklyn
11226,11226,B5,G6350,S,3339497,0,40.646448,-73.9566488,3,738745.8421,1937593023,738745.8421,Brooklyn
11228,11228,B5,G6350,S,3813708,0,40.6166983,-74.0130658,3,738745.8421,1937593023,738745.8421,Brooklyn
11229,11229,B5,G6350,S,5592659,143662,40.6012928,-73.9444926,3,738745.8421,1937593023,738745.8421,Brooklyn
11230,11230,B5,G6350,S,4767216,0,40.6221642,-73.9651104,3,738745.8421,1937593023,738745.8421,Brooklyn
11231,11231,B5,G6350,S,3681946,66967,40.6779162,-74.0051543,3,738745.8421,1937593023,738745.8421,Brooklyn
11232,11232,B5,G6350,S,3084817,234,40.6577076,-74.0043769,3,738745.8421,1937593023,738745.8421,Brooklyn
11233,11233,B5,G6350,S,3493431,0,40.6783019,-73.9199356,3,738745.8421,1937593023,738745.8421,Brooklyn
11234,11234,B5,G6350,S,19191735,2139260,40.6064361,-73.9097247,3,738745.8421,1937593023,738745.8421,Brooklyn
11235,11235,B5,G6350,S,5812668,495753,40.5839493,-73.9490961,3,738745.8421,1937593023,738745.8421,Brooklyn
11236,11236,B5,G6350,S,9321422,89767,40.6394133,-73.9006642,3,738745.8421,1937593023,738745.8421,Brooklyn
11238,11238,B5,G6350,S,2865959,0,40.6791692,-73.9638005,3,738745.8421,1937593023,738745.8421,Brooklyn
11239,11239,B5,G6350,S,1598723,27109,40.6476944,-73.8791427,3,738745.8421,1937593023,738745.8421,Brooklyn
11201,11201,B5,G6350,S,3644692,39281,40.6937005,-73.9898589,3,738745.8421,1937593023,738745.8421,Brooklyn
11203,11203,B5,G6350,S,5555600,0,40.6495897,-73.9343744,3,738745.8421,1937593023,738745.8421,Brooklyn
11204,11204,B5,G6350,S,4113158,0,40.6187771,-73.9848309,3,738745.8421,1937593023,738745.8421,Brooklyn
11205,11205,B5,G6350,S,2447361,0,40.6946616,-73.9662413,3,738745.8421,1937593023,738745.8421,Brooklyn
11206,11206,B5,G6350,S,3715220,0,40.7019538,-73.9423577,3,738745.8421,1937593023,738745.8421,Brooklyn
11209,11209,B5,G6350,S,5496341,0,40.6219934,-74.0301337,3,738745.8421,1937593023,738745.8421,Brooklyn
11210,11210,B5,G6350,S,4251899,0,40.6281442,-73.946323,3,738745.8421,1937593023,738745.8421,Brooklyn
11211,11211,B5,G6350,S,5988788,163645,40.7125973,-73.9530981,3,738745.8421,1937593023,738745.8421,Brooklyn
11212,11212,B5,G6350,S,3985437,0,40.6629321,-73.9130189,3,738745.8421,1937593023,738745.8421,Brooklyn
11213,11213,B5,G6350,S,2824124,0,40.6710795,-73.9363417,3,738745.8421,1937593023,738745.8421,Brooklyn
11214,11214,B5,G6350,S,5617496,8509,40.5991479,-73.9960898,3,738745.8421,1937593023,738745.8421,Brooklyn
11215,11215,B5,G6350,S,5633118,58928,40.6626879,-73.9867402,3,738745.8421,1937593023,738745.8421,Brooklyn
11216,11216,B5,G6350,S,2421197,0,40.6807686,-73.9493128,3,738745.8421,1937593023,738745.8421,Brooklyn
11217,11217,B5,G6350,S,1942445,8496,40.6823056,-73.9780993,3,738745.8421,1937593023,738745.8421,Brooklyn
11218,11218,B5,G6350,S,3699695,0,40.6434769,-73.9760418,3,738745.8421,1937593023,738745.8421,Brooklyn
11219,11219,B5,G6350,S,3838517,0,40.6326665,-73.9966687,3,738745.8421,1937593023,738745.8421,Brooklyn
11220,11220,B5,G6350,S,4519576,0,40.6410869,-74.0165522,3,738745.8421,1937593023,738745.8421,Brooklyn
11221,11221,B5,G6350,S,3582803,0,40.6913401,-73.9278789,3,738745.8421,1937593023,738745.8421,Brooklyn
11222,11222,B5,G6350,S,3974683,194195,40.7277898,-73.947605,3,738745.8421,1937593023,738745.8421,Brooklyn
11223,11223,B5,G6350,S,5370771,0,40.5971433,-73.973426,3,738745.8421,1937593023,738745.8421,Brooklyn
11224,11224,B5,G6350,S,4107702,78749,40.5773723,-73.9887059,3,738745.8421,1937593023,738745.8421,Brooklyn
11237,11237,B5,G6350,S,2547925,46803,40.70416,-73.9211389,4,904188.4245,3045878293,904188.4245,Queens
11354,11354,B5,G6350,S,5641435,59468,40.7682126,-73.8273924,4,904188.4245,3045878293,904188.4245,Queens
11355,11355,B5,G6350,S,4494248,0,40.7514628,-73.8209961,4,904188.4245,3045878293,904188.4245,Queens
11356,11356,B5,G6350,S,4084049,0,40.7849233,-73.8415475,4,904188.4245,3045878293,904188.4245,Queens
11357,11357,B5,G6350,S,7279772,2281,40.7851288,-73.8100365,4,904188.4245,3045878293,904188.4245,Queens
11358,11358,B5,G6350,S,5047137,0,40.7604728,-73.7963725,4,904188.4245,3045878293,904188.4245,Queens
11360,11360,B5,G6350,S,3609051,0,40.7803484,-73.7815481,4,904188.4245,3045878293,904188.4245,Queens
11361,11361,B5,G6350,S,4572643,49214,40.7641909,-73.7727748,4,904188.4245,3045878293,904188.4245,Queens
11362,11362,B5,G6350,S,6554282,39269,40.7566318,-73.735333,4,904188.4245,3045878293,904188.4245,Queens
11363,11363,B5,G6350,S,2227891,34217,40.7723479,-73.7462919,4,904188.4245,3045878293,904188.4245,Queens
11364,11364,B5,G6350,S,6391238,0,40.7452935,-73.7605831,4,904188.4245,3045878293,904188.4245,Queens
11365,11365,B5,G6350,S,6471747,46201,40.7396342,-73.7944896,4,904188.4245,3045878293,904188.4245,Queens
11366,11366,B5,G6350,S,2830903,0,40.7281572,-73.7850174,4,904188.4245,3045878293,904188.4245,Queens
11367,11367,B5,G6350,S,6100383,556542,40.7301446,-73.8270304,4,904188.4245,3045878293,904188.4245,Queens
11368,11368,B5,G6350,S,6810496,99467,40.7497368,-73.8530446,4,904188.4245,3045878293,904188.4245,Queens
11369,11369,B5,G6350,S,2823943,0,40.7634449,-73.8723342,4,904188.4245,3045878293,904188.4245,Queens
11370,11370,B5,G6350,S,3859881,0,40.7653925,-73.893191,4,904188.4245,3045878293,904188.4245,Queens
11372,11372,B5,G6350,S,1918699,0,40.7516751,-73.8836665,4,904188.4245,3045878293,904188.4245,Queens
11373,11373,B5,G6350,S,3942312,0,40.7388426,-73.8785385,4,904188.4245,3045878293,904188.4245,Queens
11374,11374,B5,G6350,S,2442516,0,40.7264673,-73.8615153,4,904188.4245,3045878293,904188.4245,Queens
11375,11375,B5,G6350,S,5152093,0,40.7209629,-73.84614,4,904188.4245,3045878293,904188.4245,Queens
11377,11377,B5,G6350,S,6569922,0,40.7448204,-73.9051607,4,904188.4245,3045878293,904188.4245,Queens
11378,11378,B5,G6350,S,6674050,122157,40.7247442,-73.9096392,4,904188.4245,3045878293,904188.4245,Queens
11379,11379,B5,G6350,S,5373688,0,40.7167526,-73.879598,4,904188.4245,3045878293,904188.4245,Queens
11385,11385,B5,G6350,S,9365111,82983,40.7006472,-73.8894227,4,904188.4245,3045878293,904188.4245,Queens
11411,11411,B5,G6350,S,3025177,0,40.6940251,-73.7362231,4,904188.4245,3045878293,904188.4245,Queens
11412,11412,B5,G6350,S,4265905,0,40.6980965,-73.7589898,4,904188.4245,3045878293,904188.4245,Queens
11413,11413,B5,G6350,S,8039776,61151,40.6711705,-73.7520631,4,904188.4245,3045878293,904188.4245,Queens
11414,11414,B5,G6350,S,5988196,206511,40.6576043,-73.844804,4,904188.4245,3045878293,904188.4245,Queens
11001,11001,B5,G6350,S,5775587,34951,40.7233167,-73.7049494,4,904188.4245,3045878293,904188.4245,Queens
11003,11003,B5,G6350,S,10754310,113541,40.6991762,-73.7061659,4,904188.4245,3045878293,904188.4245,Queens
11004,11004,B5,G6350,S,2459128,0,40.7462055,-73.7114817,4,904188.4245,3045878293,904188.4245,Queens
11005,11005,B5,G6350,S,475148,0,40.7566433,-73.7142398,4,904188.4245,3045878293,904188.4245,Queens
11020,11020,B5,G6350,S,5087281,128626,40.771442,-73.7148193,4,904188.4245,3045878293,904188.4245,Queens
11021,11021,B5,G6350,S,6045979,92751,40.7843194,-73.7314877,4,904188.4245,3045878293,904188.4245,Queens
11040,11040,B5,G6350,S,12396450,73573,40.7453467,-73.6802919,4,904188.4245,3045878293,904188.4245,Queens
11042,11042,B5,G6350,S,1522207,0,40.7585453,-73.6972039,4,904188.4245,3045878293,904188.4245,Queens
11096,11096,B5,G6350,S,3199474,1577341,40.6213463,-73.7569899,4,904188.4245,3045878293,904188.4245,Queens
11101,11101,B5,G6350,S,6743196,236158,40.7475596,-73.9389416,4,904188.4245,3045878293,904188.4245,Queens
11102,11102,B5,G6350,S,2042473,2387,40.7728839,-73.9262952,4,904188.4245,3045878293,904188.4245,Queens
11103,11103,B5,G6350,S,1842767,0,40.7625756,-73.9134576,4,904188.4245,3045878293,904188.4245,Queens
11104,11104,B5,G6350,S,1005110,0,40.7446474,-73.9202029,4,904188.4245,3045878293,904188.4245,Queens
11105,11105,B5,G6350,S,4356927,0,40.7789714,-73.9062501,4,904188.4245,3045878293,904188.4245,Queens
11106,11106,B5,G6350,S,2214067,14591,40.7622113,-73.9315281,4,904188.4245,3045878293,904188.4245,Queens
11109,11109,B5,G6350,S,128895,24260,40.7459786,-73.9575239,4,904188.4245,3045878293,904188.4245,Queens
11207,11207,B5,G6350,S,6920390,0,40.6707568,-73.8942089,4,904188.4245,3045878293,904188.4245,Queens
11208,11208,B5,G6350,S,9265807,0,40.668564,-73.8709902,4,904188.4245,3045878293,904188.4245,Queens
11580,11580,B5,G6350,S,10099387,40010,40.6749,-73.7021543,4,904188.4245,3045878293,904188.4245,Queens
11581,11581,B5,G6350,S,7072085,414322,40.651028,-73.7153252,4,904188.4245,3045878293,904188.4245,Queens
11691,11691,B5,G6350,S,7129836,114576,40.6012607,-73.7616457,4,904188.4245,3045878293,904188.4245,Queens
11692,11692,B5,G6350,S,2596629,226794,40.594154,-73.791986,4,904188.4245,3045878293,904188.4245,Queens
11693,11693,B5,G6350,S,2553905,0,40.590916,-73.809715,4,904188.4245,3045878293,904188.4245,Queens
11694,11694,B5,G6350,S,3460879,1189,40.5782702,-73.8447616,4,904188.4245,3045878293,904188.4245,Queens
11697,11697,B5,G6350,S,6722312,16405,40.5526839,-73.9245263,4,904188.4245,3045878293,904188.4245,Queens
11415,11415,B5,G6350,S,1465824,0,40.7078956,-73.8282973,4,904188.4245,3045878293,904188.4245,Queens
11416,11416,B5,G6350,S,1713829,0,40.684625,-73.8495824,4,904188.4245,3045878293,904188.4245,Queens
11417,11417,B5,G6350,S,2898418,0,40.6764344,-73.8444671,4,904188.4245,3045878293,904188.4245,Queens
11418,11418,B5,G6350,S,4225699,0,40.7002025,-73.8360122,4,904188.4245,3045878293,904188.4245,Queens
11419,11419,B5,G6350,S,2899294,0,40.6886378,-73.8229419,4,904188.4245,3045878293,904188.4245,Queens
11420,11420,B5,G6350,S,5380501,0,40.6735634,-73.8178293,4,904188.4245,3045878293,904188.4245,Queens
11421,11421,B5,G6350,S,3341502,0,40.6940617,-73.8586262,4,904188.4245,3045878293,904188.4245,Queens
11422,11422,B5,G6350,S,5191049,119987,40.6600654,-73.7360119,4,904188.4245,3045878293,904188.4245,Queens
11423,11423,B5,G6350,S,3665704,0,40.7156079,-73.7684931,4,904188.4245,3045878293,904188.4245,Queens
11426,11426,B5,G6350,S,3494228,0,40.7364622,-73.722359,4,904188.4245,3045878293,904188.4245,Queens
11427,11427,B5,G6350,S,4094785,0,40.7309177,-73.7456211,4,904188.4245,3045878293,904188.4245,Queens
11428,11428,B5,G6350,S,2153825,0,40.7210082,-73.7422573,4,904188.4245,3045878293,904188.4245,Queens
11429,11429,B5,G6350,S,3351015,0,40.7097815,-73.7387333,4,904188.4245,3045878293,904188.4245,Queens
11430,11430,B5,G6350,S,18127150,364255,40.6468086,-73.7861686,4,904188.4245,3045878293,904188.4245,Queens
11432,11432,B5,G6350,S,5566865,0,40.7153585,-73.7930717,4,904188.4245,3045878293,904188.4245,Queens
11433,11433,B5,G6350,S,4012839,0,40.6981514,-73.7869116,4,904188.4245,3045878293,904188.4245,Queens
11434,11434,B5,G6350,S,8465071,106288,40.6778566,-73.7770725,4,904188.4245,3045878293,904188.4245,Queens
11435,11435,B5,G6350,S,3958936,0,40.7012247,-73.8096353,4,904188.4245,3045878293,904188.4245,Queens
11436,11436,B5,G6350,S,2054419,0,40.6758179,-73.7966606,4,904188.4245,3045878293,904188.4245,Queens
11559,11559,B5,G6350,S,10805713,2486438,40.6029236,-73.714434,4,904188.4245,3045878293,904188.4245,Queens
